,Field_Name,Field_Alias,Field_Type,Field_Length,Field_Domain,Description,Source,Public
0,OBJECTID,OBJECTID,OID,4,,,,
1,Shape,Shape,Geometry,0,,,,
2,SEGMENTID,SEGMENTID,Integer,4,,,,
3,FULLNAME,FULLNAME,String,50,,,,
4,NAME,NAME,String,40,,,,
5,PROPERNAME,PROPERNAME,String,50,,,,
6,TYPE,TYPE,String,10,,,,
7,POSTDIR,POSTDIR,String,4,,,,
8,CLASS,CLASS,String,4,,,,
9,STREET_CLA,STREET_CLA,Integer,4,HonoluluStreetClasses,,,
10,ZIPCODER,ZIPCODER,String,5,,,,
11,ZIPCODEL,ZIPCODEL,String,5,,,,
12,TOWNL,TOWNL,String,40,,,,
13,TOWNR,TOWNR,String,40,,,,
14,NEIGHBORL,NEIGHBORL,String,40,,,,
15,NEIGHBORR,NEIGHBORR,String,40,,,,
16,ONEWAY,ONEWAY,Integer,4,,,,
17,OWNER,OWNER,String,10,,,,
18,NBRightPed,Pedestrian Zone Type (NB),Integer,4,OPP_domain_PedZoneType,,,
19,SBLeftPedZ,Pedestrian Zone Type (SB),Integer,4,OPP_domain_PedZoneType,,,
20,NBRightP_1,Pedestrian Zone Width (NB),Integer,4,OPP_domain_PedZoneWidth,,,
21,SBLeftPe_1,Pedestrian Zone Width (SB),Integer,4,OPP_domain_PedZoneWidth,,,
22,NBRightP_2,Pedestrian Zone Driveway Cut (NB),Integer,4,OPP_domain_PedZoneDrvycut,,,
23,SBLeftPe_2,Pedestrian Zone Driveway Cut (NB),Integer,4,OPP_domain_PedZoneDrvycut,,,
24,NBRightP_3,Pedestrian Zone Condition (NB),Integer,4,OPP_domain_PedZoneCond,,,
25,SBLeftPe_3,Pedestrian Zone Condition (SB),Integer,4,OPP_domain_PedZoneCond,,,
26,NBRightP_4,Pedestrian Zone Intrusion (NB),Integer,4,OPP_domain_PedZoneInt,,,
27,SBLeftPe_4,Pedestrian Zone Intrusion (SB),Integer,4,OPP_domain_PedZoneInt,,,
28,NBRightP_5,Pedestrian Buffer Furniture Zone (NB),Integer,4,OPP_domain_PedBuffFrn,,,
29,SBLeftPedB,Pedestrian Buffer Furniture Zone (SB),Integer,4,OPP_domain_PedBuffFrn,,,
30,NBRightP_6,Pedestrian Buffer Tree Canopy (NB),Integer,4,OPP_domain_PedBuffTree,,,
31,SBLeftPe_5,Pedestrian Buffer Tree Canopy (SB),Integer,4,OPP_domain_PedBuffTree,,,
32,NBRightP_7,Pedestrian Buffer Roadway Buffer (NB),Integer,4,OPP_domain_PedBuffRdBuff,,,
33,SBLeftPe_6,Pedestrian Buffer Roadway Buffer (SB),Integer,4,OPP_domain_PedBuffRdBuff,,,
34,NBRightP_8,Pedestrian Buffer Lighting (NB),Integer,4,OPP_domain_PedBuffLight,,,
35,SBLeftPe_7,Pedestrian Buffer Lighting (SB),Integer,4,OPP_domain_PedBuffLight,,,
36,NBRightVis,Visual Interest (NB),Integer,4,OPP_domain_VisualInterest,,,
37,SBLeftVisu,Visual Interest (SB),Integer,4,OPP_domain_VisualInterest,,,
38,MidBlkXwkU,Mid-block Crosswalk Use Type,Integer,4,OPP_domain_MidBlkXwkUse,,,
39,MidBlkXwkC,Mid-block Crosswalk Use Condition,Integer,4,OPP_domain_MidBlkXwkCond,,,
40,MidBlkXw_1,Mid-block Crosswalk Use Control Type,Integer,4,OPP_domain_MidBlkXwkCntrl,,,
41,TraffCalmi,Traffic Calming Features (TCFs),Integer,4,OPP_domain_TraffCalming,,,
42,PPN_Final,Pedestrian Priority Network,Integer,4,,,,
43,HPI,High Pedestrian Injury Corridor,Integer,4,,,,
44,PpnNotCity,Pedestrian Priority Network non-City street,Integer,4,,,,
45,FID_Ped_Improve_temp,Pedestrian Improvements - FID,Integer,4,,,,
